,Indoor unit cooling state 0,Indoor unit cooling state 1,Indoor unit cooling state 2,Indoor unit cooling state 3,Indoor unit cooling state 4,Indoor unit cooling state 5,Indoor unit cooling state 6,Indoor temperature 0,Indoor temperature 1,Indoor temperature 2,Indoor temperature 3,Indoor temperature 4,Indoor temperature 5,Indoor temperature 6,Compressor frequency 1,Compressor frequency 2,Outdoor unit Condensing temperature,diff(Outdoor unit power),Outdoor unit Evaporating temperature,Outdoor unit fan speed,Compressor discharge pressure,Compressor suction pressure,Outdoor dry bulb temperature,Cooling capacity,delete1
2022-06-21 12:15:00,151.0,109.91304347826087,0.0,0.0,101.04347826086956,0.0,85.91304347826087,28.3,25.10434782608695,31.533333333333335,31.68095238095238,25.62608695652174,31.58095238095239,23.5695652173913,,,,8.079999999999927,,,,,29.900000000000002,,False
2022-06-21 12:30:00,151.0,181.57142857142858,12.380952380952381,12.380952380952381,141.38095238095238,12.380952380952381,17.08695652173913,28.3,24.14761904761904,30.77619047619048,30.85238095238096,24.87619047619048,31.114285714285717,23.673913043478255,,,,4.2800000000002,,,,,30.0,,False
2022-06-21 12:45:00,151.0,114.3913043478261,0.0,0.0,98.69565217391305,0.0,0.0,28.3,23.98260869565217,29.59999999999999,29.50909090909091,24.726086956521748,30.09090909090908,25.58181818181818,,,,7.639999999999873,,,,,30.099999999999998,,False
2022-06-21 13:00:00,151.0,131.6315789473684,0.0,0.0,109.05263157894737,0.0,0.0,28.3,24.057894736842105,29.194736842105264,28.957894736842103,24.726315789473684,29.5157894736842,26.321052631578947,,,,5.200000000000273,,,,,30.099999999999998,,False
2022-06-21 13:15:00,151.0,122.13636363636364,0.0,0.0,107.68181818181819,0.0,0.0,28.3,24.427272727272733,28.671428571428578,28.68095238095239,25.063636363636363,29.304761904761904,26.819047619047616,,,,7.0,,,,,30.100000000000005,,False
2022-06-21 13:30:00,151.0,115.69565217391305,0.0,0.0,93.08695652173913,0.0,0.0,28.3,23.652173913043473,28.509523809523813,28.700000000000003,24.47826086956522,29.352380952380948,27.338095238095235,,,,4.0,,,,,30.066666666666666,,False
2022-06-21 16:45:00,151.0,112.33333333333333,0.0,0.0,91.0,0.0,43.65217391304348,28.3,23.809523809523814,27.085714285714282,26.833333333333332,24.657142857142855,27.357142857142858,25.28260869565218,,,,7.039999999999964,,,,,30.633333333333336,,False
2022-06-21 17:00:00,151.0,115.8,0.0,0.0,90.85,0.0,18.1,28.3,23.715000000000003,26.874999999999993,26.699999999999996,24.634999999999998,27.349999999999994,25.26,,,,7.1599999999998545,,,,,30.46666666666667,,False
2022-06-21 17:15:00,151.0,102.36363636363636,0.0,0.0,83.81818181818181,0.0,27.454545454545453,28.3,24.145454545454548,27.014285714285723,26.814285714285717,24.75454545454546,27.59523809523809,25.88181818181818,,,,6.720000000000255,,,,,30.266666666666666,,False
2022-06-21 17:30:00,151.0,163.47619047619048,18.571428571428573,18.571428571428573,134.47619047619048,18.571428571428573,37.57142857142857,28.3,24.147619047619045,27.342857142857135,27.152380952380955,24.799999999999994,27.990476190476198,25.152380952380955,,,,4.7199999999998,,,,,30.2,,False
2022-06-21 17:45:00,151.0,139.68421052631578,0.0,0.0,98.05263157894737,0.0,32.90909090909091,28.3,23.610526315789468,27.263157894736835,26.90526315789474,24.49473684210526,27.657894736842106,25.35454545454546,,,,6.599999999999909,,,,,30.099999999999998,,False
