diff(Outdoor unit power),Cooling capacity,Outdoor dry bulb temperature,Compressor frequency 1,Mean(Indoor temperature),Outdoor unit fan speed
3.319999999999709,9.653859034000002,30.46666666666667,22.294117647058826,24.61,655.8823529411766
2.680000000000291,12.9139804,30.866666666666664,28.33333333333333,25.009523809523806,517.4444444444445
2.9599999999995816,12.65064593,31.03333333333333,30.33333333333333,24.657894736842106,694.0
3.200000000000273,9.894391792,31.433333333333334,20.58823529411765,24.852631578947374,510.64705882352933
4.159999999999855,10.88924677,31.76666666666667,25.705882352941174,24.722222222222214,302.64705882352933
2.2400000000002365,11.69364529,31.83333333333333,26.705882352941174,24.65,639.2352941176471
2.880000000000109,6.294868467000001,31.93333333333333,14.066666666666665,24.516666666666666,411.6
4.239999999999782,15.46719165,29.9,36.36363636363637,25.616363636363637,649.0
2.880000000000109,14.56717547,29.3,34.0,25.48847926267281,471.0
2.320000000000164,11.52574604,29.8,23.0,24.5,471.0
2.400000000000091,13.721240519999998,30.7,32.9,24.858333333333334,270.6
2.200000000000273,9.778278348999999,30.96666666666667,26.363636363636363,25.108717948717945,280.0
1.6799999999998363,3.819056925,31.3,6.9,25.632792207792207,84.7
1.2399999999997815,6.3295776660000005,31.266666666666666,13.818181818181818,25.25,381.1818181818182
5.680000000000291,13.528063080000004,31.83333333333333,35.4,24.24846153846154,655.7
3.0799999999999272,9.363131746,32.2,21.8,25.019230769230766,478.5
2.559999999999945,10.47812406,32.53333333333333,26.4,22.99230769230769,555.2
3.0799999999999272,12.23615136,33.13333333333333,28.63636363636364,22.764285714285716,534.0909090909091
2.2800000000002,4.119005165,33.333333333333336,10.111111111111109,22.35833333333333,279.22222222222223
3.0799999999999272,13.60434819,33.766666666666666,32.0,23.84166666666667,665.0
3.720000000000255,12.852245579999998,34.06666666666667,31.272727272727273,24.000000000000004,627.5454545454545
3.679999999999836,13.922073480000002,34.300000000000004,33.6,23.93076923076923,695.6
3.4000000000000914,10.46675317,34.300000000000004,25.09090909090909,23.54,621.8181818181819
2.599999999999909,8.665710373,34.4,20.222222222222218,23.691666666666674,467.11111111111114
2.559999999999945,3.504081313,34.300000000000004,8.636363636363637,23.72307692307692,456.8181818181818
4.0,12.26082069,28.96666666666667,27.0,24.716666666666665,336.6111111111111
2.039999999999964,8.798004822000001,29.366666666666664,20.82608695652174,24.59565217391304,467.3478260869565
1.9199999999996182,6.992788264,29.600000000000005,17.423076923076927,24.774999999999995,475.8076923076923
2.0400000000004184,8.878367479000001,29.93333333333333,21.95833333333333,24.6608695652174,524.1666666666666
2.4799999999995634,12.09671332,30.43333333333333,24.8125,28.123856209150325,366.5625
4.080000000000382,15.694690230000004,30.566666666666666,39.2,25.25346153846154,830.6
4.239999999999782,17.964277199999998,30.83333333333333,42.66666666666666,24.932142857142857,830.1111111111112
3.960000000000037,17.573647719999997,31.23333333333333,35.54545454545455,30.01922077922078,831.0
3.119999999999891,14.90664814,31.76666666666667,36.125,24.285714285714285,600.75
3.039999999999964,14.14728524,31.9,34.714285714285715,24.543750000000003,601.2857142857142
2.880000000000109,13.840829300000001,31.66666666666667,33.5,24.68409090909091,563.625
2.0,9.922249975,31.96666666666667,22.25,25.014285714285712,430.25
2.2399999999997817,3.417475449,32.5,7.5,24.52222222222223,207.5
2.1200000000003456,3.5632236780000004,32.766666666666666,7.777777777777778,24.73076923076923,242.55555555555557
1.8799999999996544,8.066499038,32.800000000000004,16.0,25.016666666666666,173.66666666666663
2.1200000000003456,6.9437565260000005,33.46666666666667,17.285714285714285,24.6125,454.57142857142856
4.039999999999964,14.850363399999999,34.43333333333334,33.05882352941177,25.858823529411765,579.6470588235294
5.5600000000004,15.726219680000002,34.93333333333334,43.375,24.8,619.7083333333334
4.0,13.349227009999998,34.73333333333333,30.052631578947373,25.164705882352948,499.4210526315789
3.799999999999727,20.498107630000003,34.4,56.21052631578947,23.963157894736838,768.578947368421
3.6399999999998727,13.497447369999998,34.2,33.09090909090909,23.27307692307692,619.3636363636364
4.800000000000182,13.56710085,32.800000000000004,32.892857142857146,22.86785714285714,540.9642857142857
3.7199999999998,10.18581961,30.03333333333333,25.2,22.38,532.8
1.4000000000005457,5.836259499,26.1,11.6,23.55,149.5
2.520000000000437,8.998634443,26.9,19.1,26.491666666666664,165.3
2.319999999999709,14.09029364,27.8,34.19230769230769,28.0584347826087,297.0
4.8400000000001455,22.58003759,28.33333333333333,59.29166666666666,24.92185990338165,352.29166666666674
4.7999999999992715,17.55136188,27.83333333333333,37.888888888888886,24.75049019607843,345.22222222222223
3.040000000000873,13.91906822,27.366666666666664,31.464285714285715,24.788888888888888,278.7142857142857
2.9200000000000728,5.3969531790000005,27.96666666666667,9.818181818181818,25.25238095238095,98.54545454545456
0.8800000000001091,4.251895465,27.03333333333333,15.2,28.645454545454548,67.2
0.6000000000003638,2.8115211220000003,27.3,3.2,28.89166666666667,21.8
0.6000000000003638,3.131577145,27.066666666666666,5.111111111111111,28.35,76.0
0.9200000000000728,2.975564893,27.566666666666666,4.2,28.87,60.1
0.680000000000291,2.323618597,27.766666666666666,3.636363636363636,28.372727272727275,111.8181818181818
0.8799999999991996,3.673075664,28.100000000000005,4.6,28.96,52.1
0.8000000000001819,2.291471264,28.133333333333336,4.3,28.381818181818176,123.3
1.4000000000005457,4.457130529,29.766666666666666,15.4,28.79166666666666,19.1
1.0399999999999636,3.754646054,29.0,6.888888888888888,28.25,94.88888888888887
1.800000000000182,6.354909141,30.83333333333333,12.181818181818182,28.600000000000005,159.36363636363637
4.599999999999454,6.901217795999999,31.93333333333333,16.5,28.816666666666666,225.4
1.800000000000182,4.249706005,32.13333333333333,9.8,26.862500000000004,252.0
0.680000000000291,2.255989161,32.46666666666666,4.8,28.381818181818176,240.0
1.3599999999996726,3.502994115,32.666666666666664,8.5,28.381818181818186,284.0
3.119999999999891,9.212536269,32.03333333333333,25.33333333333333,28.7,155.11111111111111
1.9600000000000364,6.500699944,31.33333333333333,13.5,28.342857142857145,300.9
1.5199999999995268,7.4533968700000015,31.2,17.3,28.676923076923075,240.4
1.1199999999998909,6.698026679,31.16666666666667,14.222222222222221,28.715384615384608,181.33333333333331
1.9200000000000728,7.63180461,30.73333333333333,16.88888888888889,28.707692307692305,311.5555555555556
3.3599999999996726,5.097741261,30.100000000000005,16.333333333333332,28.89,37.888888888888886
1.1999999999998179,3.830773744,29.633333333333336,7.454545454545454,28.65833333333333,205.0909090909091
1.800000000000182,3.1447789860000004,26.5,4.727272727272728,26.575000000000006,93.0
2.0,11.750233300000001,26.366666666666664,27.0,25.1551282051282,222.77777777777774
1.800000000000182,5.781670197,25.96666666666667,12.222222222222221,26.21923076923077,38.888888888888886
2.1599999999998545,11.1031119,26.03333333333333,22.3,25.592307692307692,223.1
1.4000000000005457,6.013893650999999,28.16666666666667,11.818181818181818,27.02857142857143,140.0909090909091
2.520000000000437,12.02983739,29.16666666666667,27.608695652173914,24.514814814814827,335.6521739130435
2.0,8.587495657,29.66666666666667,25.88888888888889,31.213197051990157,425.4444444444445
1.2400000000006912,6.3455749180000005,26.899999999999995,9.555555555555557,27.576923076923073,158.22222222222226
